task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	57/b087db	3950	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2025-07-30 12:38:42.059	2.7s	1s	32.2%	3.4 MB	9.8 MB	1.4 MB	852 B
2	5d/efa6c5	4104	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2025-07-30 12:38:43.946	1.5s	1s	14.9%	3.1 MB	6.3 MB	134.7 KB	4.9 KB
1	ae/48c1cd	4266	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2025-07-30 12:38:44.768	989ms	60ms	45.5%	0	0	93.6 KB	5 KB
5	ec/479ec9	4454	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2025-07-30 12:38:45.771	2.2s	1s	53.9%	61.3 MB	187 MB	3.1 MB	8.3 MB
4	49/99e48c	4770	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2025-07-30 12:38:48.026	573ms	0ms	76.9%	6.5 MB	13.7 MB	1.4 MB	4.1 KB
6	94/1e48db	4932	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	COMPLETED	0	2025-07-30 12:38:51.151	15.2s	15s	351.6%	2.1 GB	2.6 GB	80.4 MB	40 MB
9	44/edf0b1	5643	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2025-07-30 12:39:06.327	9.9s	10s	145.1%	1.4 GB	1.9 GB	36.5 MB	6.4 MB
10	58/026c46	6318	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	COMPLETED	0	2025-07-30 12:39:16.274	11.2s	11s	123.2%	1.2 GB	1.7 GB	44.8 MB	13.1 MB
7	46/ceb63e	7031	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2025-07-30 12:39:27.468	6.2s	6s	165.3%	1.3 GB	1.9 GB	36.7 MB	7.5 MB
8	9a/1d73f8	7477	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2025-07-30 12:39:33.664	9.9s	10s	161.4%	1.5 GB	1.9 GB	38.9 MB	9.1 MB
